"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"644183","Electric",8,"Autonomous",30,0,45,40,120,1,2,1,6,1,3,0.5,2,1,8,0.4,5,0.4,3,1,6,0.7,3.88888888888889
"647207","Electric",8,"Autonomous",30,0,60,40,120,1,2,1,6,1,3,0.5,2,1,8,0.4,5,0.4,3,1,6,0.7,3.88888888888889
"659354","Electric",6,"Autonomous",60,0,10,80,120,1,2,0.7,4,1,3,0.8,3,1,8,0.7,6,0.6,4,1,6,0.7,3.88888888888889
"659681","Electric",8,"Autonomous",30,5,10,80,120,1,2,1,6,1,3,0.5,2,0.7,7,0.7,6,0.6,4,1,6,0.7,3.91666666666667
"677876","Electric",6,"Autonomous",60,5,5,100,120,1,2,0.7,4,1,3,0.8,3,0.7,7,1,7,0.8,5,1,6,0.7,3.91666666666667
"683546","Electric",6,"Autonomous",60,0,30,100,120,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,0.8,5,1,6,0.7,3.86111111111111
"683873","Electric",8,"Autonomous",30,5,30,100,120,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,0.8,5,1,6,0.7,3.88888888888889
"686570","Electric",6,"Autonomous",60,0,45,100,120,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,0.8,5,1,6,0.7,3.86111111111111
"686897","Electric",8,"Autonomous",30,5,45,100,120,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,0.8,5,1,6,0.7,3.88888888888889
"689594","Electric",6,"Autonomous",60,0,60,100,120,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,0.8,5,1,6,0.7,3.86111111111111
"689921","Electric",8,"Autonomous",30,5,60,100,120,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,0.8,5,1,6,0.7,3.88888888888889
"698633","Electric",8,"Piloted",30,0,5,150,120,1,2,1,6,0.5,1,0.5,2,1,8,1,7,1,6,1,6,0.7,3.94444444444444
"702068","Electric",6,"Autonomous",60,5,10,150,120,1,2,0.7,4,1,3,0.8,3,0.7,7,0.7,6,1,6,1,6,0.7,3.88888888888889
"713844","Hybrid",8,"Autonomous",90,0,120,150,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"713898","Hybrid",8,"Autonomous",120,0,120,150,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"713952","Hybrid",8,"Autonomous",150,0,120,150,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"714006","Hybrid",8,"Autonomous",180,0,120,150,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"716868","Hybrid",8,"Autonomous",90,0,360,150,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"716922","Hybrid",8,"Autonomous",120,0,360,150,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"716976","Hybrid",8,"Autonomous",150,0,360,150,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"717030","Hybrid",8,"Autonomous",180,0,360,150,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"719801","Electric",8,"Piloted",30,0,5,200,120,1,2,1,6,0.5,1,0.5,2,1,8,1,7,1,6,1,6,0.7,3.94444444444444
"723236","Electric",6,"Autonomous",60,5,10,200,120,1,2,0.7,4,1,3,0.8,3,0.7,7,0.7,6,1,6,1,6,0.7,3.88888888888889
"735012","Hybrid",8,"Autonomous",90,0,120,200,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"735066","Hybrid",8,"Autonomous",120,0,120,200,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"735120","Hybrid",8,"Autonomous",150,0,120,200,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"735174","Hybrid",8,"Autonomous",180,0,120,200,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"738036","Hybrid",8,"Autonomous",90,0,360,200,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"738090","Hybrid",8,"Autonomous",120,0,360,200,120,0.5,2.5,1,6,1,3,1,4,1,8,0,3,1,6,1,6,0.7,4.38888888888889
"738144","Hybrid",8,"Autonomous",150,0,360,200,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
"738198","Hybrid",8,"Autonomous",180,0,360,200,120,0.5,2.5,1,6,1,3,1,5,1,8,0,3,1,6,1,6,0.7,4.58333333333333
