"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"359978","Electric",6,"Autonomous",60,0,5,80,40,1,2,0.7,4,1,3,0.8,3,1,8,1,7,0.6,4,0.4,3,0.7,0.773480662983425
"360305","Electric",8,"Autonomous",30,5,5,80,40,1,2,1,6,1,3,0.5,2,0.7,7,1,7,0.6,4,0.4,3,0.7,0.779005524861878
"365975","Electric",8,"Autonomous",30,0,30,80,40,1,2,1,6,1,3,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,0.767955801104972
"368999","Electric",8,"Autonomous",30,0,45,80,40,1,2,1,6,1,3,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,0.767955801104972
"372023","Electric",8,"Autonomous",30,0,60,80,40,1,2,1,6,1,3,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,0.767955801104972
"384170","Electric",6,"Autonomous",60,0,10,100,40,1,2,0.7,4,1,3,0.8,3,1,8,0.7,6,0.8,5,0.4,3,0.7,0.767955801104972
"384497","Electric",8,"Autonomous",30,5,10,100,40,1,2,1,6,1,3,0.5,2,0.7,7,0.7,6,0.8,5,0.4,3,0.7,0.773480662983425
"402692","Electric",6,"Autonomous",60,5,5,150,40,1,2,0.7,4,1,3,0.8,3,0.7,7,1,7,1,6,0.4,3,0.7,0.773480662983425
"408362","Electric",6,"Autonomous",60,0,30,150,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"408689","Electric",8,"Autonomous",30,5,30,150,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"411386","Electric",6,"Autonomous",60,0,45,150,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"411713","Electric",8,"Autonomous",30,5,45,150,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"414410","Electric",6,"Autonomous",60,0,60,150,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"414737","Electric",8,"Autonomous",30,5,60,150,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"423860","Electric",6,"Autonomous",60,5,5,200,40,1,2,0.7,4,1,3,0.8,3,0.7,7,1,7,1,6,0.4,3,0.7,0.773480662983425
"429530","Electric",6,"Autonomous",60,0,30,200,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"429857","Electric",8,"Autonomous",30,5,30,200,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"432554","Electric",6,"Autonomous",60,0,45,200,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"432881","Electric",8,"Autonomous",30,5,45,200,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"435578","Electric",6,"Autonomous",60,0,60,200,40,1,2,0.7,4,1,3,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,0.762430939226519
"435905","Electric",8,"Autonomous",30,5,60,200,40,1,2,1,6,1,3,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,0.767955801104972
"490064","Electric",6,"Autonomous",90,0,10,40,80,1,2,0.7,4,1,3,1,4,1,8,0.7,6,0.4,3,0.6,4,0.7,0.790055248618785
"490118","Electric",6,"Autonomous",120,0,10,40,80,1,2,0.7,4,1,3,1,4,1,8,0.7,6,0.4,3,0.6,4,0.7,0.790055248618785
"490172","Electric",6,"Autonomous",150,0,10,40,80,1,2,0.7,4,1,3,1,5,1,8,0.7,6,0.4,3,0.6,4,0.7,0.828729281767956
"490226","Electric",6,"Autonomous",180,0,10,40,80,1,2,0.7,4,1,3,1,5,1,8,0.7,6,0.4,3,0.6,4,0.7,0.828729281767956
"529326","Hybrid",8,"Autonomous",60,0,5,100,80,0.5,2.5,1,6,1,3,0.8,3,1,8,1,7,0.8,5,0.6,4,0.7,0.878453038674033
"532778","Electric",6,"Autonomous",90,5,10,100,80,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,0.8,5,0.6,4,0.7,0.790055248618785
"532832","Electric",6,"Autonomous",120,5,10,100,80,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,0.8,5,0.6,4,0.7,0.790055248618785
"532886","Electric",6,"Autonomous",150,5,10,100,80,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,0.8,5,0.6,4,0.7,0.828729281767956
"532940","Electric",6,"Autonomous",180,5,10,100,80,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,0.8,5,0.6,4,0.7,0.828729281767956
"544391","Electric",8,"Autonomous",30,0,120,100,80,1,2,1,6,1,3,0.5,2,1,8,0,3,0.8,5,0.6,4,0.7,0.751381215469613
