"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"9083",1,1,1,0,1,1,1,0.1,0.691111111111111,4910
"9119",1,1,1,0.1,1,1,1,0.1,0.702222222222222,4980
"9152",1,0.7,1,0.5,1,1,1,0.1,0.686666666666667,5080
"9155",1,1,1,0.5,1,1,1,0.1,0.746666666666667,5260
"9167",1,1,0.5,0.5,1,1,1,0.1,0.68,5260
"9185",1,0.4,1,1,1,1,1,0.1,0.682222222222222,5250
"9188",1,0.7,1,1,1,1,1,0.1,0.742222222222222,5430
"9190",0.2,1,1,1,1,1,1,0.1,0.677777777777778,5610
"9191",1,1,1,1,1,1,1,0.1,0.802222222222222,5610
"9192",0.5,1,1,1,1,1,1,0.1,0.724444444444444,5610
"9200",1,0.7,0.5,1,1,1,1,0.1,0.675555555555556,5430
"9203",1,1,0.5,1,1,1,1,0.1,0.735555555555556,5610
"9215",1,1,0.2,1,1,1,1,0.1,0.695555555555556,5610
"9299",1,1,1,0.5,0.5,1,1,0.1,0.702222222222222,5260
"9332",1,0.7,1,1,0.5,1,1,0.1,0.697777777777778,5430
"9335",1,1,1,1,0.5,1,1,0.1,0.757777777777778,5610
"9336",0.5,1,1,1,0.5,1,1,0.1,0.68,5610
"9347",1,1,0.5,1,0.5,1,1,0.1,0.691111111111111,5610
"9479",1,1,1,1,0,1,1,0.1,0.713333333333333,5610
"9551",1,1,1,0.1,1,0.5,1,0.1,0.68,4830
"9587",1,1,1,0.5,1,0.5,1,0.1,0.724444444444444,5110
"9620",1,0.7,1,1,1,0.5,1,0.1,0.72,5280
"9623",1,1,1,1,1,0.5,1,0.1,0.78,5460
"9624",0.5,1,1,1,1,0.5,1,0.1,0.702222222222222,5460
"9635",1,1,0.5,1,1,0.5,1,0.1,0.713333333333333,5460
"9647",1,1,0.2,1,1,0.5,1,0.1,0.673333333333333,5460
"9731",1,1,1,0.5,0.5,0.5,1,0.1,0.68,5110
"9764",1,0.7,1,1,0.5,0.5,1,0.1,0.675555555555556,5280
"9767",1,1,1,1,0.5,0.5,1,0.1,0.735555555555556,5460
"9911",1,1,1,1,0,0.5,1,0.1,0.691111111111111,5460
"10019",1,1,1,0.5,1,0,1,0.1,0.702222222222222,4960
"10052",1,0.7,1,1,1,0,1,0.1,0.697777777777778,5130
"10055",1,1,1,1,1,0,1,0.1,0.757777777777778,5310
"10056",0.5,1,1,1,1,0,1,0.1,0.68,5310
"10067",1,1,0.5,1,1,0,1,0.1,0.691111111111111,5310
"10199",1,1,1,1,0.5,0,1,0.1,0.713333333333333,5310
"10451",1,1,1,0.5,1,1,0,0.5,0.688888888888889,5100
"10484",1,0.7,1,1,1,1,0,0.5,0.684444444444444,5270
"10487",1,1,1,1,1,1,0,0.5,0.744444444444444,5450
"10499",1,1,0.5,1,1,1,0,0.5,0.677777777777778,5450
"10631",1,1,1,1,0.5,1,0,0.5,0.7,5450
"10919",1,1,1,1,1,0.5,0,0.5,0.722222222222222,5300
"11063",1,1,1,1,0.5,0.5,0,0.5,0.677777777777778,5300
"11351",1,1,1,1,1,0,0,0.5,0.7,5150
"11747",1,1,1,0.5,1,1,0.1,0.5,0.695555555555556,5120
"11780",1,0.7,1,1,1,1,0.1,0.5,0.691111111111111,5290
"11783",1,1,1,1,1,1,0.1,0.5,0.751111111111111,5470
"11784",0.5,1,1,1,1,1,0.1,0.5,0.673333333333333,5470
"11795",1,1,0.5,1,1,1,0.1,0.5,0.684444444444444,5470
"11927",1,1,1,1,0.5,1,0.1,0.5,0.706666666666667,5470
