"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"260244","Hybrid",8,"Autonomous",90,0,30,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"260298","Hybrid",8,"Autonomous",120,0,30,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"260352","Hybrid",8,"Autonomous",150,0,30,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"260406","Hybrid",8,"Autonomous",180,0,30,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"263268","Hybrid",8,"Autonomous",90,0,45,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"263322","Hybrid",8,"Autonomous",120,0,45,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"263376","Hybrid",8,"Autonomous",150,0,45,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"263430","Hybrid",8,"Autonomous",180,0,45,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"266292","Hybrid",8,"Autonomous",90,0,60,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"266346","Hybrid",8,"Autonomous",120,0,60,150,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"266400","Hybrid",8,"Autonomous",150,0,60,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"266454","Hybrid",8,"Autonomous",180,0,60,150,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"269312","Electric",6,"Autonomous",90,0,120,150,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"269366","Electric",6,"Autonomous",120,0,120,150,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"269420","Electric",6,"Autonomous",150,0,120,150,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"269474","Electric",6,"Autonomous",180,0,120,150,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"272336","Electric",6,"Autonomous",90,0,360,150,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"272390","Electric",6,"Autonomous",120,0,360,150,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"272444","Electric",6,"Autonomous",150,0,360,150,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"272498","Electric",6,"Autonomous",180,0,360,150,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"275742","Hybrid",8,"Autonomous",90,5,5,200,20,0.5,2.5,1,6,1,10,1,4,0.7,7,1,7,1,6,0.2,2,0.7,5.47222222222222
"275796","Hybrid",8,"Autonomous",120,5,5,200,20,0.5,2.5,1,6,1,10,1,4,0.7,7,1,7,1,6,0.2,2,0.7,5.47222222222222
"275850","Hybrid",8,"Autonomous",150,5,5,200,20,0.5,2.5,1,6,1,10,1,5,0.7,7,1,7,1,6,0.2,2,0.7,5.66666666666667
"275904","Hybrid",8,"Autonomous",180,5,5,200,20,0.5,2.5,1,6,1,10,1,5,0.7,7,1,7,1,6,0.2,2,0.7,5.66666666666667
"281412","Hybrid",8,"Autonomous",90,0,30,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"281466","Hybrid",8,"Autonomous",120,0,30,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"281520","Hybrid",8,"Autonomous",150,0,30,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"281574","Hybrid",8,"Autonomous",180,0,30,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"284436","Hybrid",8,"Autonomous",90,0,45,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"284490","Hybrid",8,"Autonomous",120,0,45,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"284544","Hybrid",8,"Autonomous",150,0,45,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"284598","Hybrid",8,"Autonomous",180,0,45,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"287460","Hybrid",8,"Autonomous",90,0,60,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"287514","Hybrid",8,"Autonomous",120,0,60,200,20,0.5,2.5,1,6,1,10,1,4,1,8,0.4,5,1,6,0.2,2,0.7,5.41666666666667
"287568","Hybrid",8,"Autonomous",150,0,60,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"287622","Hybrid",8,"Autonomous",180,0,60,200,20,0.5,2.5,1,6,1,10,1,5,1,8,0.4,5,1,6,0.2,2,0.7,5.61111111111111
"290480","Electric",6,"Autonomous",90,0,120,200,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"290534","Electric",6,"Autonomous",120,0,120,200,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"290588","Electric",6,"Autonomous",150,0,120,200,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"290642","Electric",6,"Autonomous",180,0,120,200,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"293504","Electric",6,"Autonomous",90,0,360,200,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"293558","Electric",6,"Autonomous",120,0,360,200,20,1,2,0.7,4,1,10,1,4,1,8,0,3,1,6,0.2,2,0.7,4.80555555555556
"293612","Electric",6,"Autonomous",150,0,360,200,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"293666","Electric",6,"Autonomous",180,0,360,200,20,1,2,0.7,4,1,10,1,5,1,8,0,3,1,6,0.2,2,0.7,5
"317591","Electric",8,"Autonomous",30,0,5,20,40,1,2,1,6,1,10,0.5,2,1,8,1,7,0.2,1,0.4,3,0.7,4.83333333333333
"341783","Electric",8,"Autonomous",30,0,10,40,40,1,2,1,6,1,10,0.5,2,1,8,0.7,6,0.4,3,0.4,3,0.7,4.86111111111111
"359978","Electric",6,"Autonomous",60,0,5,80,40,1,2,0.7,4,1,10,0.8,3,1,8,1,7,0.6,4,0.4,3,0.7,4.86111111111111
"360305","Electric",8,"Autonomous",30,5,5,80,40,1,2,1,6,1,10,0.5,2,0.7,7,1,7,0.6,4,0.4,3,0.7,4.88888888888889
"365975","Electric",8,"Autonomous",30,0,30,80,40,1,2,1,6,1,10,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,4.83333333333333
"368999","Electric",8,"Autonomous",30,0,45,80,40,1,2,1,6,1,10,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,4.83333333333333
"372023","Electric",8,"Autonomous",30,0,60,80,40,1,2,1,6,1,10,0.5,2,1,8,0.4,5,0.6,4,0.4,3,0.7,4.83333333333333
"384170","Electric",6,"Autonomous",60,0,10,100,40,1,2,0.7,4,1,10,0.8,3,1,8,0.7,6,0.8,5,0.4,3,0.7,4.83333333333333
"384497","Electric",8,"Autonomous",30,5,10,100,40,1,2,1,6,1,10,0.5,2,0.7,7,0.7,6,0.8,5,0.4,3,0.7,4.86111111111111
